groups	cs_A	cs_B	cs_D
OG0009811	TraesCS2A02G520400.1	TraesCS2B02G549600.1	TraesCS2D02G521600.1
OG0009812	TraesCS2A02G520700.1	TraesCS2B02G550000.1	TraesCS2D02G522400.1
OG0009813	TraesCS2A02G520800.1	TraesCS2B02G550200.1	TraesCS2D02G522500.1
OG0009814	TraesCS2A02G521300.3	TraesCS2B02G550600.2	TraesCS2D02G523000.1
OG0009815	TraesCS2A02G521500.1	TraesCS2B02G550800.1	TraesCS2D02G523300.1
OG0009816	TraesCS2A02G521600.1	TraesCS2B02G551100.1	TraesCS2D02G523400.1
OG0009817	TraesCS2A02G521700.1	TraesCS2B02G551200.1	TraesCS2D02G523500.1
OG0009818	TraesCS2A02G521900.1	TraesCS2B02G551400.1	TraesCS2D02G523700.1
OG0009819	TraesCS2A02G522100.1	TraesCS2B02G551800.1	TraesCS2D02G524100.1
OG0009820	TraesCS2A02G522200.1	TraesCS2B02G551900.1	TraesCS2D02G524300.1
OG0009821	TraesCS2A02G523000.1	TraesCS2B02G552700.1	TraesCS2D02G524900.1
OG0009822	TraesCS2A02G523100.1	TraesCS2B02G552800.1	TraesCS2D02G525000.1
OG0009823	TraesCS2A02G523200.1	TraesCS2B02G553000.1	TraesCS2D02G525200.1
OG0009824	TraesCS2A02G523300.2	TraesCS2B02G553100.1	TraesCS2D02G525300.1
OG0009825	TraesCS2A02G523400.2	TraesCS2B02G553300.1	TraesCS2D02G525500.1
OG0009826	TraesCS2A02G523500.2	TraesCS2B02G553400.1	TraesCS2D02G525600.2
OG0009827	TraesCS2A02G523600.1	TraesCS2B02G553500.1	TraesCS2D02G525700.1
OG0009828	TraesCS2A02G523700.1	TraesCS2B02G553600.1	TraesCS2D02G525900.1
OG0009829	TraesCS2A02G523800.1	TraesCS2B02G553700.1	TraesCS2D02G526100.1
OG0009830	TraesCS2A02G524000.1	TraesCS2B02G553800.1	TraesCS2D02G526300.1
OG0009831	TraesCS2A02G524500.1	TraesCS2B02G554600.1	TraesCS2D02G527500.1
OG0009832	TraesCS2A02G524700.1	TraesCS2B02G554700.1	TraesCS2D02G527600.1
OG0009833	TraesCS2A02G524800.1	TraesCS2B02G554800.1	TraesCS2D02G527700.1
OG0009834	TraesCS2A02G525000.1	TraesCS2B02G554900.1	TraesCS2D02G527800.1
OG0009835	TraesCS2A02G525200.1	TraesCS2B02G555100.1	TraesCS2D02G528000.1
OG0009836	TraesCS2A02G525300.1	TraesCS2B02G555200.1	TraesCS2D02G528200.1
OG0009837	TraesCS2A02G525400.1	TraesCS2B02G555300.1	TraesCS2D02G528300.1
OG0009838	TraesCS2A02G525900.1	TraesCS2B02G556000.1	TraesCS2D02G528700.1
OG0009839	TraesCS2A02G526000.1	TraesCS2B02G556100.3	TraesCS2D02G528800.1
OG0009840	TraesCS2A02G526100.1	TraesCS2B02G556200.1	TraesCS2D02G528900.1
OG0009841	TraesCS2A02G526300.1	TraesCS2B02G556600.1	TraesCS2D02G529000.1
OG0009842	TraesCS2A02G526400.1	TraesCS2B02G556700.1	TraesCS2D02G529100.1
OG0009843	TraesCS2A02G526500.1	TraesCS2B02G556800.1	TraesCS2D02G529200.1
OG0009844	TraesCS2A02G526700.1	TraesCS2B02G557000.2	TraesCS2D02G529400.1
OG0009845	TraesCS2A02G526800.2	TraesCS2B02G557100.1	TraesCS2D02G529500.1
OG0009846	TraesCS2A02G526900.1	TraesCS2B02G557300.2	TraesCS2D02G529600.1
OG0009847	TraesCS2A02G527000.1	TraesCS2B02G557600.1	TraesCS2D02G529800.1
OG0009848	TraesCS2A02G527100.1	TraesCS2B02G557700.1	TraesCS2D02G530000.1
OG0009849	TraesCS2A02G527200.1	TraesCS2B02G557800.1	TraesCS2D02G530100.1
OG0009850	TraesCS2A02G527500.1	TraesCS2B02G558200.1	TraesCS2D02G530300.1
OG0009851	TraesCS2A02G527600.1	TraesCS2B02G558300.1	TraesCS2D02G530400.1
OG0009852	TraesCS2A02G528500.1	TraesCS2B02G558900.1	TraesCS2D02G531200.1
OG0009853	TraesCS2A02G528600.1	TraesCS2B02G559000.1	TraesCS2D02G531500.1
OG0009854	TraesCS2A02G528700.2	TraesCS2B02G559100.1	TraesCS2D02G531600.3
OG0009855	TraesCS2A02G528800.1	TraesCS2B02G559200.1	TraesCS2D02G531700.1
OG0009856	TraesCS2A02G528900.1	TraesCS2B02G559300.1	TraesCS2D02G531800.1
OG0009857	TraesCS2A02G529000.1	TraesCS2B02G559500.1	TraesCS2D02G531819.1
OG0009858	TraesCS2A02G532700.1	TraesCS2B02G562200.1	TraesCS2D02G534500.1
OG0009859	TraesCS2A02G532800.1	TraesCS2B02G562300.1	TraesCS2D02G534600.1
OG0009860	TraesCS2A02G533000.1	TraesCS2B02G562500.1	TraesCS2D02G534800.1
OG0009861	TraesCS2A02G533100.1	TraesCS2B02G562600.1	TraesCS2D02G535000.1
OG0009862	TraesCS2A02G533200.1	TraesCS2B02G562800.1	TraesCS2D02G535100.1
OG0009863	TraesCS2A02G533300.1	TraesCS2B02G562900.1	TraesCS2D02G535200.1
OG0009864	TraesCS2A02G534500.1	TraesCS2B02G565200.1	TraesCS2D02G537000.1
OG0009865	TraesCS2A02G536300.1	TraesCS2B02G567800.1	TraesCS2D02G537700.8
OG0009866	TraesCS2A02G537100.1	TraesCS2B02G567600.1	TraesCS2D02G538300.1
OG0009867	TraesCS2A02G537400.1	TraesCS2B02G568200.1	TraesCS2D02G538600.1
OG0009868	TraesCS2A02G537500.1	TraesCS2B02G568300.1	TraesCS2D02G538700.1
OG0009869	TraesCS2A02G538500.1	TraesCS2B02G568700.1	TraesCS2D02G539300.1
OG0009870	TraesCS2A02G538700.1	TraesCS2B02G568900.1	TraesCS2D02G539600.1
OG0009871	TraesCS2A02G539000.1	TraesCS2B02G569100.1	TraesCS2D02G540000.1
OG0009872	TraesCS2A02G539600.1	TraesCS2B02G569800.1	TraesCS2D02G540700.1
OG0009873	TraesCS2A02G539700.1	TraesCS2B02G570000.1	TraesCS2D02G541300.1
OG0009874	TraesCS2A02G539900.1	TraesCS2B02G570300.1	TraesCS2D02G541500.1
OG0009875	TraesCS2A02G540000.2	TraesCS2B02G570400.2	TraesCS2D02G541600.1
OG0009876	TraesCS2A02G540100.1	TraesCS2B02G570500.1	TraesCS2D02G541800.1
OG0009877	TraesCS2A02G540200.1	TraesCS2B02G570600.1	TraesCS2D02G541900.1
OG0009878	TraesCS2A02G540400.1	TraesCS2B02G570900.1	TraesCS2D02G542100.1
OG0009879	TraesCS2A02G541400.1	TraesCS2B02G571700.1	TraesCS2D02G542600.1
OG0009880	TraesCS2A02G541500.2	TraesCS2B02G571800.1	TraesCS2D02G542700.1
OG0009881	TraesCS2A02G541700.1	TraesCS2B02G571900.1	TraesCS2D02G542800.1
OG0009882	TraesCS2A02G542700.1	TraesCS2B02G572500.1	TraesCS2D02G543900.1
OG0009883	TraesCS2A02G542800.1	TraesCS2B02G572600.1	TraesCS2D02G544000.1
OG0009884	TraesCS2A02G542900.1	TraesCS2B02G572700.1	TraesCS2D02G544100.1
OG0009885	TraesCS2A02G543000.1	TraesCS2B02G572800.1	TraesCS2D02G544200.1
OG0009886	TraesCS2A02G543100.1	TraesCS2B02G572900.1	TraesCS2D02G544300.1
OG0009887	TraesCS2A02G543300.1	TraesCS2B02G573200.1	TraesCS2D02G544500.1
OG0009888	TraesCS2A02G543400.1	TraesCS2B02G573500.1	TraesCS2D02G544600.1
OG0009889	TraesCS2A02G543500.1	TraesCS2B02G573700.1	TraesCS2D02G544800.1
OG0009890	TraesCS2A02G543900.1	TraesCS2B02G574100.1	TraesCS2D02G545000.1
OG0009891	TraesCS2A02G544000.1	TraesCS2B02G574200.2	TraesCS2D02G545200.1
OG0009892	TraesCS2A02G544100.1	TraesCS2B02G574300.1	TraesCS2D02G545100.1
OG0009894	TraesCS2A02G544400.1	TraesCS2B02G574500.1	TraesCS2D02G545400.1
OG0009895	TraesCS2A02G545500.2	TraesCS2B02G576000.2	TraesCS2D02G546400.1
OG0009896	TraesCS2A02G545600.1	TraesCS2B02G576100.2	TraesCS2D02G546500.2
OG0009897	TraesCS2A02G545700.1	TraesCS2B02G576300.1	TraesCS2D02G546600.1
OG0009898	TraesCS2A02G545900.1	TraesCS2B02G576800.1	TraesCS2D02G547100.1
OG0009899	TraesCS2A02G546900.1	TraesCS2B02G577700.1	TraesCS2D02G547900.1
OG0009900	TraesCS2A02G547000.1	TraesCS2B02G577800.1	TraesCS2D02G548000.1
OG0009901	TraesCS2A02G547300.1	TraesCS2B02G578000.1	TraesCS2D02G548300.1
OG0009902	TraesCS2A02G547400.1	TraesCS2B02G578100.1	TraesCS2D02G548400.1
OG0009903	TraesCS2A02G547600.1	TraesCS2B02G578300.1	TraesCS2D02G548700.1
OG0009904	TraesCS2A02G547800.1	TraesCS2B02G578500.1	TraesCS2D02G548900.1
OG0009905	TraesCS2A02G547900.1	TraesCS2B02G578700.1	TraesCS2D02G549000.1
OG0009906	TraesCS2A02G548000.1	TraesCS2B02G578800.1	TraesCS2D02G549100.1
OG0009907	TraesCS2A02G548100.1	TraesCS2B02G579000.1	TraesCS2D02G549200.1
OG0009908	TraesCS2A02G548200.1	TraesCS2B02G579100.1	TraesCS2D02G549300.1
OG0009909	TraesCS2A02G548300.1	TraesCS2B02G579200.1	TraesCS2D02G549400.1
OG0009910	TraesCS2A02G548400.1	TraesCS6B02G465500.1	TraesCS6D02G400000.1
OG0009911	TraesCS2A02G549200.2	TraesCS2B02G579800.1	TraesCS2D02G550000.1
OG0009912	TraesCS2A02G549300.1	TraesCS2B02G579700.1	TraesCS2D02G549900.1
OG0009913	TraesCS2A02G550200.1	TraesCS2B02G580800.1	TraesCS2D02G551200.1
OG0009914	TraesCS2A02G550300.2	TraesCS2B02G580900.1	TraesCS2D02G551300.1
OG0009915	TraesCS2A02G550739.1	TraesCS2B02G581500.1	TraesCS2D02G551900.1
OG0009916	TraesCS2A02G550900.2	TraesCS2B02G581700.3	TraesCS2D02G552000.2
OG0009917	TraesCS2A02G551100.1	TraesCS2B02G582300.1	TraesCS2D02G552200.1
OG0009918	TraesCS2A02G551300.1	TraesCS2B02G582500.1	TraesCS2D02G552300.1
OG0009919	TraesCS2A02G551400.1	TraesCS2B02G582600.1	TraesCS2D02G552500.1
OG0009920	TraesCS2A02G551600.1	TraesCS2B02G582800.1	TraesCS2D02G552700.1
OG0009921	TraesCS2A02G551900.1	TraesCS2B02G583200.1	TraesCS2D02G552900.1
OG0009922	TraesCS2A02G552000.1	TraesCS2B02G583300.1	TraesCS2D02G553000.1
OG0009923	TraesCS2A02G552300.1	TraesCS2B02G583700.1	TraesCS2D02G553200.1
OG0009924	TraesCS2A02G552700.1	TraesCS2B02G584000.2	TraesCS2D02G553300.1
OG0009925	TraesCS2A02G553300.1	TraesCS2B02G585300.1	TraesCS2D02G554800.1
OG0009926	TraesCS2A02G553400.1	TraesCS2B02G585200.1	TraesCS2D02G554900.2
OG0009927	TraesCS2A02G553600.1	TraesCS2B02G585400.1	TraesCS2D02G555200.1
OG0009928	TraesCS2A02G554100.1	TraesCS2B02G590000.1	TraesCS2D02G560200.1
OG0009929	TraesCS2A02G554200.1	TraesCS2B02G589700.1	TraesCS2D02G560100.1
OG0009930	TraesCS2A02G554300.1	TraesCS2B02G589800.2	TraesCS2D02G560000.1
OG0009931	TraesCS2A02G554900.1	TraesCS2B02G589100.1	TraesCS2D02G559700.1
OG0009932	TraesCS2A02G555200.1	TraesCS2B02G588700.1	TraesCS2D02G559300.1
OG0009933	TraesCS2A02G555300.1	TraesCS2B02G588600.1	TraesCS2D02G559200.1
OG0009934	TraesCS2A02G555500.1	TraesCS2B02G588300.1	TraesCS2D02G559000.1
OG0009935	TraesCS2A02G555600.1	TraesCS2B02G587900.1	TraesCS2D02G558800.1
OG0009937	TraesCS2A02G556100.1	TraesCS2B02G586400.1	TraesCS2D02G557300.2
OG0009938	TraesCS2A02G556200.1	TraesCS2B02G586500.1	TraesCS2D02G557400.1
OG0009939	TraesCS2A02G556300.1	TraesCS2B02G586600.1	TraesCS2D02G557500.1
OG0009940	TraesCS2A02G556500.1	TraesCS2B02G586800.1	TraesCS2D02G557700.1
OG0009941	TraesCS2A02G556700.1	TraesCS2B02G587000.1	TraesCS2D02G557800.1
OG0009943	TraesCS2A02G557600.1	TraesCS2B02G617600.1	TraesCS2D02G567600.1
OG0009944	TraesCS2A02G557900.1	TraesCS2B02G622500.1	TraesCS2D02G571700.1
OG0009945	TraesCS2A02G558000.1	TraesCS2B02G622400.1	TraesCS2D02G571600.1
OG0009946	TraesCS2A02G558200.1	TraesCS2B02G622200.1	TraesCS2D02G571400.1
OG0009948	TraesCS2A02G559100.1	TraesCS2B02G621100.1	TraesCS2D02G299300.1
OG0009949	TraesCS2A02G559200.1	TraesCS2B02G621000.1	TraesCS2D02G571300.1
OG0009950	TraesCS2A02G559300.1	TraesCS2B02G620900.1	TraesCS2D02G571200.1
OG0009951	TraesCS2A02G559500.1	TraesCS2B02G620700.1	TraesCS2D02G571000.1
OG0009952	TraesCS2A02G559600.1	TraesCS2B02G620600.1	TraesCS2D02G570900.1
OG0009953	TraesCS2A02G559700.3	TraesCS2B02G620000.1	TraesCS2D02G570400.2
OG0009954	TraesCS2A02G559800.1	TraesCS2B02G619900.1	TraesCS2D02G570300.1
OG0009955	TraesCS2A02G561300.1	TraesCS2B02G618500.1	TraesCS2D02G568600.2
OG0009956	TraesCS2A02G561400.3	TraesCS2B02G618400.1	TraesCS2D02G568500.2
OG0009958	TraesCS2A02G562500.1	TraesCS2B02G624100.1	TraesCS2D02G572700.1
OG0009960	TraesCS2A02G563100.1	TraesCS2B02G623400.1	TraesCS2D02G572300.1
OG0009961	TraesCS2A02G563300.1	TraesCS2B02G623300.1	TraesCS2D02G572100.1
OG0009962	TraesCS2A02G563500.2	TraesCS2B02G622700.1	TraesCS2D02G571900.2
OG0009963	TraesCS2A02G564000.1	TraesCS2B02G625300.1	TraesCS2D02G574200.1
OG0009964	TraesCS2A02G565000.1	TraesCS3B02G438100.1	TraesCS3D02G399800.1
OG0009966	TraesCS2A02G566500.1	TraesCS2B02G630200.1	TraesCS2D02G576700.1
OG0009967	TraesCS2A02G566600.1	TraesCS2B02G630100.1	TraesCS2D02G576800.1
OG0009968	TraesCS2A02G566700.1	TraesCS2B02G630000.1	TraesCS2D02G577000.1
OG0009969	TraesCS2A02G567400.1	TraesCS2B02G629200.1	TraesCS2D02G577900.1
OG0009970	TraesCS2A02G567500.1	TraesCS2B02G629100.1	TraesCS2D02G578000.1
OG0009971	TraesCS2A02G567600.1	TraesCS2B02G021100.2	TraesCS2D02G578100.1
OG0009972	TraesCS2A02G567800.1	TraesCS2B02G628800.1	TraesCS2D02G578500.1
OG0009973	TraesCS2A02G568100.1	TraesCS1B02G430600.1	TraesCS7D02G362500.1
OG0009974	TraesCS2A02G568300.1	TraesCS2B02G628500.1	TraesCS2D02G579000.1
OG0009975	TraesCS2A02G569700.1	TraesCS2B02G627700.1	TraesCS2D02G580400.1
OG0009976	TraesCS2A02G572500.1	TraesCS2B02G615100.1	TraesCS2D02G583700.1
OG0009977	TraesCS2A02G572600.1	TraesCS2B02G615000.1	TraesCS2D02G583900.1
OG0009978	TraesCS2A02G572800.1	TraesCS2B02G614800.1	TraesCS2D02G584100.1
OG0009979	TraesCS2A02G573400.1	TraesCS2B02G614400.1	TraesCS2D02G584600.1
OG0009980	TraesCS2A02G573500.1	TraesCS2B02G614100.1	TraesCS2D02G584700.1
OG0009981	TraesCS2A02G573600.1	TraesCS2B02G614000.1	TraesCS2D02G584800.1
OG0009982	TraesCS2A02G574000.1	TraesCS2B02G613800.1	TraesCS2D02G584900.1
OG0009983	TraesCS2A02G574200.1	TraesCS2B02G613700.1	TraesCS2D02G585000.1
OG0009984	TraesCS2A02G574300.1	TraesCS1B02G445600.1	TraesCS1D02G423100.1
OG0009986	TraesCS2A02G574600.1	TraesCS2B02G612300.1	TraesCS2D02G585100.1
OG0009987	TraesCS2A02G574700.1	TraesCS2B02G612200.1	TraesCS2D02G585300.1
OG0009988	TraesCS2A02G574800.1	TraesCS2B02G612100.1	TraesCS2D02G585500.1
OG0009989	TraesCS2A02G575300.1	TraesCS2B02G611900.2	TraesCS2D02G586000.2
OG0009990	TraesCS2A02G575500.1	TraesCS2B02G611700.1	TraesCS2D02G586200.1
OG0009991	TraesCS2A02G575700.1	TraesCS2B02G611600.1	TraesCS2D02G586500.1
OG0009992	TraesCS2A02G576500.1	TraesCS2B02G610900.1	TraesCS2D02G587200.1
OG0009993	TraesCS2A02G576600.1	TraesCS2B02G610800.1	TraesCS2D02G587300.1
OG0009994	TraesCS2A02G577100.1	TraesCS2B02G610300.1	TraesCS2D02G588100.1
OG0009995	TraesCS2A02G577400.1	TraesCS2B02G610000.1	TraesCS2D02G588600.1
OG0009996	TraesCS2A02G577700.1	TraesCS2B02G609700.1	TraesCS2D02G589100.1
OG0009997	TraesCS2A02G578300.1	TraesCS2B02G609500.1	TraesCS2D02G589500.1
OG0009998	TraesCS2A02G578400.1	TraesCS2B02G609400.1	TraesCS2D02G589600.1
OG0009999	TraesCS2A02G580000.2	TraesCS2B02G607200.3	TraesCS2D02G599300.1
OG0010000	TraesCS2A02G580800.2	TraesCS2B02G608300.1	TraesCS2D02G592100.1
OG0010001	TraesCS2A02G581400.1	TraesCS2B02G609200.1	TraesCS2D02G589800.1
OG0010002	TraesCS2A02G581600.1	TraesCS2B02G605800.1	TraesCS2D02G598500.1
OG0010003	TraesCS2A02G582000.1	TraesCS2B02G605000.1	TraesCS2D02G598200.1
OG0010004	TraesCS2A02G582100.1	TraesCS2B02G604800.1	TraesCS2D02G598000.1
OG0010005	TraesCS2A02G582200.1	TraesCS2B02G604900.1	TraesCS2D02G598100.1
OG0010006	TraesCS2A02G582300.1	TraesCS2B02G604700.1	TraesCS2D02G597900.1
OG0010007	TraesCS2A02G582500.1	TraesCS2B02G604300.1	TraesCS2D02G597600.1
OG0010008	TraesCS2A02G582700.2	TraesCS2B02G603800.1	TraesCS2D02G597500.2
OG0010009	TraesCS2A02G583000.1	TraesCS2B02G603600.1	TraesCS2D02G597200.1
OG0010010	TraesCS2A02G583100.1	TraesCS2B02G603500.1	TraesCS2D02G597000.1
OG0010011	TraesCS2A02G583200.1	TraesCS2B02G603400.1	TraesCS2D02G596800.1
OG0010012	TraesCS2A02G583300.1	TraesCS2B02G603300.1	TraesCS2D02G596700.1
OG0010013	TraesCS2A02G583600.1	TraesCS2B02G603000.1	TraesCS2D02G596200.1
OG0010014	TraesCS2A02G583700.1	TraesCS2B02G602900.1	TraesCS2D02G596100.1
OG0010015	TraesCS2A02G583800.2	TraesCS2B02G602800.1	TraesCS2D02G596000.1
OG0010016	TraesCS2A02G583900.1	TraesCS2B02G602700.1	TraesCS2D02G595900.1
OG0010017	TraesCS2A02G584200.1	TraesCS2B02G602500.1	TraesCS2D02G595800.1
OG0010018	TraesCS2A02G584700.1	TraesCS2B02G598600.2	TraesCS2D02G601500.1
OG0010019	TraesCS2A02G585200.1	TraesCS2B02G597700.2	TraesCS2D02G601200.1
OG0010021	TraesCS2A02G586000.1	TraesCS2B02G597200.1	TraesCS2D02G600600.2
OG0010022	TraesCS2A02G586300.1	TraesCS2B02G596800.1	TraesCS2D02G600300.1
OG0010023	TraesCS2A02G586800.1	TraesCS2B02G596600.1	TraesCS2D02G599700.1
OG0010024	TraesCS2A02G586900.2	TraesCS2B02G596500.1	TraesCS2D02G599600.1
OG0010025	TraesCS2A02G587100.1	TraesCS2B02G596300.1	TraesCS2D02G599500.1
OG0010026	TraesCS2A02G587700.2	TraesCS2B02G595600.1	TraesCS2D02G565600.1
OG0010027	TraesCS2A02G587800.2	TraesCS2B02G595400.1	TraesCS2D02G565400.1
OG0010028	TraesCS2A02G587900.1	TraesCS2B02G595300.1	TraesCS2D02G565300.1
OG0010029	TraesCS2A02G588000.2	TraesCS2B02G595200.1	TraesCS2D02G565200.1
OG0010030	TraesCS2A02G588100.1	TraesCS2B02G595100.1	TraesCS2D02G565100.1
OG0010031	TraesCS2A02G589200.1	TraesCS2B02G594500.1	TraesCS2D02G564800.1
OG0010032	TraesCS2A02G589400.1	TraesCS2B02G594300.1	TraesCS2D02G564700.1
OG0010033	TraesCS2A02G589900.1	TraesCS2B02G594100.1	TraesCS2D02G564300.1
OG0010034	TraesCS2A02G590000.2	TraesCS2B02G594200.1	TraesCS2D02G564200.1
OG0010035	TraesCS2A02G590400.1	TraesCS2B02G593500.1	TraesCS2D02G564100.1
OG0010036	TraesCS2A02G590600.1	TraesCS2B02G593000.1	TraesCS2D02G563600.1
OG0010038	TraesCS2A02G591300.1	TraesCS2B02G592500.1	TraesCS2D02G562900.1
OG0010039	TraesCS2A02G591500.1	TraesCS2B02G592200.1	TraesCS2D02G562800.1
OG0010040	TraesCS2A02G591700.1	TraesCS2B02G592000.1	TraesCS2D02G562500.1
OG0010041	TraesCS2A02G592500.1	TraesCS2B02G591700.6	TraesCS2D02G562000.1
OG0010042	TraesCS2A02G592600.1	TraesCS2B02G591600.2	TraesCS2D02G561900.1
OG0010043	TraesCS2A02G593000.1	TraesCS2B02G591300.1	TraesCS2D02G561700.1
OG0010044	TraesCS2A02G593100.1	TraesCS2B02G591200.1	TraesCS2D02G561600.1
OG0010045	TraesCS2A02G593200.1	TraesCS2B02G591100.3	TraesCS2D02G561500.1
OG0010046	TraesCS2A02G593300.1	TraesCS2B02G591000.1	TraesCS2D02G561400.1
OG0010047	TraesCS2A02G593600.1	TraesCS2B02G590900.1	TraesCS2D02G561100.1
OG0010048	TraesCS3A02G000300.1	TraesCS3B02G003800.1	TraesCS3D02G008800.1
OG0010049	TraesCS3A02G000900.3	TraesCS3B02G003100.5	TraesCS3D02G009600.3
OG0010050	TraesCS3A02G001100.1	TraesCS3B02G000300.1	TraesCS3D02G009900.1
OG0010051	TraesCS3A02G001500.1	TraesCS3B02G000400.1	TraesCS3D02G010000.1
OG0010053	TraesCS3A02G003000.1	TraesCS3B02G009700.1	TraesCS3D02G006600.1
OG0010054	TraesCS3A02G003200.1	TraesCS3B02G009300.1	TraesCS3D02G006200.1
OG0010055	TraesCS3A02G003400.1	TraesCS3B02G009100.1	TraesCS3D02G006000.1
OG0010056	TraesCS3A02G003700.1	TraesCS3B02G008900.1	TraesCS3D02G005700.1
OG0010057	TraesCS3A02G003800.1	TraesCS3B02G008700.1	TraesCS3D02G005500.1
OG0010058	TraesCS3A02G003900.1	TraesCS3B02G008600.2	TraesCS3D02G005400.1
OG0010059	TraesCS3A02G005900.1	TraesCS3B02G008100.1	TraesCS3D02G004600.1
OG0010061	TraesCS3A02G009600.1	TraesCS3B02G012500.1	TraesCS3D02G001900.1
OG0010062	TraesCS3A02G010000.1	TraesCS3B02G013300.1	TraesCS3D02G001600.1
OG0010063	TraesCS3A02G010400.1	TraesCS3B02G013000.1	TraesCS3D02G001300.1
OG0010064	TraesCS3A02G011500.1	TraesCS3B02G014500.1	TraesCS3D02G000200.1
OG0010065	TraesCS3A02G011600.1	TraesCS3B02G014600.1	TraesCS3D02G000100.1
OG0010067	TraesCS3A02G012300.1	TraesCS3B02G014900.2	TraesCS3D02G010700.1
OG0010068	TraesCS3A02G012700.1	TraesCS3B02G015000.1	TraesCS5D02G502400.1
OG0010069	TraesCS3A02G013800.1	TraesCS3B02G016500.1	TraesCS3D02G012100.3
OG0010071	TraesCS3A02G016500.1	TraesCS5B02G476300.1	TraesCS7D02G398000.1
OG0010073	TraesCS3A02G019300.1	TraesCS3B02G029500.1	TraesCS3D02G015100.1
OG0010074	TraesCS3A02G019400.1	TraesCS5B02G504300.1	TraesCS3D02G027500.2
OG0010075	TraesCS3A02G019600.1	TraesCS3B02G026700.1	TraesCS3D02G027300.1
OG0010076	TraesCS3A02G020100.1	TraesCS3B02G025800.1	TraesCS3D02G026600.1
OG0010077	TraesCS3A02G020300.1	TraesCS3B02G025200.1	TraesCS3D02G026400.1
OG0010078	TraesCS3A02G021000.1	TraesCS3B02G027200.1	TraesCS3D02G016700.1
OG0010079	TraesCS3A02G021200.1	TraesCS3B02G025000.1	TraesCS3D02G025800.1
OG0010080	TraesCS3A02G021300.1	TraesCS3B02G024900.1	TraesCS3D02G025600.1
OG0010081	TraesCS3A02G021400.1	TraesCS3B02G024800.1	TraesCS3D02G025500.1
OG0010082	TraesCS3A02G021500.1	TraesCS3B02G024600.1	TraesCS3D02G025400.1
OG0010083	TraesCS3A02G021800.1	TraesCS3B02G024000.1	TraesCS3D02G025000.1
OG0010084	TraesCS3A02G022100.1	TraesCS3B02G023800.1	TraesCS3D02G024600.1
OG0010085	TraesCS3A02G022200.1	TraesCS3B02G023700.1	TraesCS3D02G024500.1
OG0010086	TraesCS3A02G022300.1	TraesCS3B02G023400.1	TraesCS3D02G024300.1
OG0010087	TraesCS3A02G022400.1	TraesCS3B02G023300.1	TraesCS3D02G024200.1
OG0010088	TraesCS3A02G022500.1	TraesCS3B02G023200.1	TraesCS3D02G024100.1
OG0010089	TraesCS3A02G022600.3	TraesCS3B02G022900.1	TraesCS3D02G023900.1
OG0010090	TraesCS3A02G022900.1	TraesCS3B02G022000.3	TraesCS3D02G023200.2
OG0010091	TraesCS3A02G023000.1	TraesCS3B02G021900.1	TraesCS3D02G023100.1
OG0010092	TraesCS3A02G023100.1	TraesCS3B02G021700.1	TraesCS3D02G023000.2
OG0010093	TraesCS3A02G023700.1	TraesCS3B02G021100.1	TraesCS3D02G022500.1
OG0010094	TraesCS3A02G023800.1	TraesCS3B02G021000.1	TraesCS3D02G022400.1
OG0010095	TraesCS3A02G023900.1	TraesCS3B02G020900.1	TraesCS3D02G022300.1
OG0010096	TraesCS3A02G024100.2	TraesCS3B02G020800.1	TraesCS3D02G022200.1
OG0010097	TraesCS3A02G024200.1	TraesCS3B02G020700.1	TraesCS3D02G022100.1
OG0010098	TraesCS3A02G024300.1	TraesCS3B02G020500.1	TraesCS3D02G022000.1
OG0010099	TraesCS3A02G024900.1	TraesCS3B02G019900.1	TraesCS3D02G021200.1
OG0010100	TraesCS3A02G025100.1	TraesCS3B02G019800.1	TraesCS3D02G021000.1
OG0010101	TraesCS3A02G025200.1	TraesCS3B02G019600.1	TraesCS3D02G020800.1
OG0010102	TraesCS3A02G025600.1	TraesCS3B02G019400.1	TraesCS3D02G020100.1
OG0010103	TraesCS3A02G025700.1	TraesCS3B02G019300.1	TraesCS3D02G020000.1
OG0010104	TraesCS3A02G025800.1	TraesCS3B02G019200.3	TraesCS3D02G019900.2
OG0010105	TraesCS3A02G026000.1	TraesCS3B02G018800.1	TraesCS3D02G019700.1
OG0010106	TraesCS3A02G026200.1	TraesCS3B02G016600.1	TraesCS3D02G019500.1
OG0010107	TraesCS3A02G026400.1	TraesCS3B02G016700.1	TraesCS3D02G019400.1
OG0010108	TraesCS3A02G026500.1	TraesCS3B02G017100.1	TraesCS3D02G019000.1
OG0010109	TraesCS3A02G026600.1	TraesCS3B02G017200.2	TraesCS3D02G018900.2
OG0010110	TraesCS3A02G026700.1	TraesCS3B02G017300.1	TraesCS3D02G018800.1
OG0010111	TraesCS3A02G026800.1	TraesCS3B02G017500.2	TraesCS3D02G018700.1
OG0010112	TraesCS3A02G027500.1	TraesCS3B02G442300.1	TraesCS3D02G018300.1
OG0010113	TraesCS3A02G027700.3	TraesCS3B02G017800.1	TraesCS3D02G018200.1
OG0010114	TraesCS3A02G027900.1	TraesCS3B02G018000.2	TraesCS3D02G018100.1
OG0010115	TraesCS3A02G028000.1	TraesCS3B02G018100.1	TraesCS3D02G018000.1
OG0010116	TraesCS3A02G028200.3	TraesCS3B02G018400.1	TraesCS3D02G017700.1
